study_hours_per_week,attendance_rate,previous_gpa,sleep_hours,parental_support,extracurricular,part_time_job,gender,final_score
10.9,92.2,3.15,6.4,Medium,No,No,Male,100.0
13.8,99.2,3.45,8.8,Medium,Yes,Yes,Male,100.0
5.6,80.4,3.38,7.4,Medium,No,No,Female,93.8
5.3,86.0,3.57,8.6,Low,Yes,Yes,Female,86.9
5.6,64.9,3.0,6.0,High,Yes,No,Female,77.8
11.2,87.7,3.15,7.1,High,No,No,Female,100.0
15.0,74.4,3.26,5.7,High,No,No,Male,100.0
8.3,87.0,3.07,6.5,Low,No,No,Female,93.5
0.0,69.4,2.8,6.7,Medium,No,Yes,Male,70.1
3.2,90.4,2.83,6.1,Low,Yes,No,Male,83.3
6.7,,2.59,5.4,Medium,No,No,Male,82.1
7.8,77.2,3.21,5.2,Medium,Yes,No,Male,95.6
8.4,73.6,2.95,4.0,Medium,Yes,No,Male,82.5
10.2,63.4,2.67,5.6,Low,Yes,Yes,Female,95.6
8.8,82.3,2.67,7.8,High,No,Yes,Female,100.0
14.2,79.2,2.39,4.9,Low,No,Yes,Male,99.8
7.3,69.5,3.49,5.2,Low,Yes,Yes,Male,91.6
6.6,89.5,3.04,9.3,High,No,Yes,Female,90.8
11.9,80.5,2.57,6.2,Medium,No,No,Male,100.0
3.9,74.2,3.4,7.4,Medium,No,No,Female,85.3
11.6,79.5,2.72,7.8,Medium,No,No,Male,88.8
10.4,95.7,2.3,7.9,Low,Yes,No,Female,100.0
9.4,91.0,3.51,5.0,Low,No,No,Female,100.0
16.4,83.7,2.73,6.7,Medium,No,No,Male,100.0
7.5,91.2,2.8,4.9,Medium,No,No,Male,83.8
18.2,73.4,3.02,10.0,Medium,No,No,Female,100.0
9.1,85.3,3.57,4.9,Low,No,No,Male,83.9
4.9,86.5,3.01,5.6,Medium,Yes,No,Male,92.5
10.3,80.3,2.4,5.6,High,No,No,Male,85.7
5.7,89.4,3.27,5.1,Low,Yes,No,Male,89.2
7.0,77.2,2.76,8.8,Low,Yes,No,Female,81.2
11.6,90.1,3.94,10.0,Medium,No,No,Male,96.9
12.2,90.5,3.0,6.4,High,No,No,Male,100.0
7.5,55.8,1.88,5.3,Medium,No,Yes,Female,72.4
13.9,96.9,3.18,4.1,Medium,No,Yes,Female,100.0
14.6,54.5,3.97,6.7,Medium,No,No,Female,96.5
15.7,78.8,3.79,6.6,Low,No,Yes,Female,100.0
12.1,95.3,3.92,6.2,Medium,No,No,Male,95.6
15.5,81.8,2.49,7.3,Low,Yes,Yes,Female,88.5
2.5,70.3,3.46,7.5,Medium,No,No,Male,91.8
8.7,,2.64,7.4,Low,Yes,Yes,Female,99.3
6.5,95.3,3.11,6.6,Medium,Yes,No,Female,95.1
10.5,65.8,2.36,5.6,Medium,Yes,No,Female,84.5
7.7,96.3,2.68,7.9,Medium,No,Yes,Female,90.1
9.3,84.4,2.66,7.0,Medium,No,Yes,Male,95.7
17.5,73.1,3.45,8.2,Medium,No,No,Male,100.0
9.3,79.2,3.4,8.0,High,No,No,Female,100.0
11.7,74.8,3.14,5.2,High,No,No,Male,98.6
9.1,93.7,2.32,5.1,High,Yes,No,Female,92.5
10.3,92.3,2.84,6.0,Medium,No,No,Female,94.3
10.0,67.8,2.63,5.6,Medium,No,Yes,Male,88.0
11.8,81.0,3.43,8.0,Medium,No,No,Female,96.6
14.7,76.4,3.59,7.5,Medium,Yes,No,Female,100.0
16.6,97.9,3.53,8.4,Medium,Yes,Yes,Female,100.0
11.2,71.5,2.62,7.5,Medium,No,No,Male,94.5
12.4,100.0,1.63,7.3,Low,Yes,No,Male,100.0
5.4,84.7,2.12,8.6,Low,Yes,Yes,Male,78.0
9.6,73.4,3.71,7.6,High,No,Yes,Male,100.0
13.8,78.2,2.8,7.1,Low,Yes,Yes,Male,88.2
13.5,77.0,2.62,8.9,Medium,Yes,Yes,Male,94.7
10.8,72.3,3.82,7.1,Medium,No,Yes,Male,98.2
13.5,85.9,3.63,6.6,Low,No,No,Male,100.0
12.0,72.7,3.01,5.9,High,No,Yes,Female,87.1
14.8,63.2,2.85,7.9,Low,Yes,No,Female,97.1
11.2,81.2,2.93,8.6,High,Yes,No,Female,100.0
8.6,67.0,3.11,6.9,High,No,No,Male,89.3
11.3,77.5,3.8,8.7,Low,No,No,Female,97.1
0.0,75.9,3.21,4.4,Low,Yes,Yes,Female,72.7
11.5,76.3,3.36,6.9,Medium,No,Yes,Male,98.2
0.0,100.0,3.58,6.9,Medium,No,Yes,Female,91.7
3.1,85.6,2.42,6.1,Low,No,No,Male,79.0
11.8,87.5,3.38,10.0,High,Yes,No,Female,100.0
11.9,67.2,2.85,6.9,Low,Yes,No,Male,91.4
5.4,78.5,1.74,6.5,High,Yes,No,Female,79.3
7.2,87.2,1.94,7.0,Low,Yes,No,Male,83.1
15.5,74.8,2.49,4.4,High,No,Yes,Female,93.0
8.1,94.1,3.27,6.0,Low,No,No,Female,95.3
19.0,73.0,3.06,8.3,Medium,No,Yes,Male,100.0
10.0,82.1,3.09,6.2,Medium,No,No,Male,92.1
11.6,79.1,3.98,5.9,Low,Yes,No,Male,100.0
16.5,86.6,2.37,8.7,High,Yes,Yes,Male,100.0
10.5,78.6,2.99,8.7,Medium,Yes,No,Male,100.0
6.0,82.3,3.15,7.7,Medium,Yes,No,Female,89.2
9.6,82.6,2.63,6.4,Medium,No,Yes,Female,96.1
9.9,77.7,3.01,6.7,Medium,No,No,Female,92.3
4.5,89.9,2.2,6.0,Low,No,No,Female,82.1
9.0,87.4,3.7,5.7,Low,No,Yes,Female,94.0
7.0,84.1,2.66,5.6,Low,No,Yes,Male,86.1
13.7,80.7,4.0,6.2,Medium,Yes,Yes,Female,100.0
10.1,93.0,2.98,5.7,Low,No,Yes,Male,83.9
8.9,,3.51,5.0,High,Yes,No,Female,100.0
9.6,81.9,2.97,7.3,Medium,No,No,Male,94.9
10.9,86.0,2.98,7.3,Medium,No,No,Male,100.0
12.5,100.0,2.71,9.2,Medium,Yes,No,Male,100.0
6.0,71.6,3.06,6.1,Medium,Yes,No,Female,83.0
5.8,92.7,3.16,7.4,Medium,Yes,No,Female,89.4
14.4,66.1,2.61,7.4,Medium,No,No,Female,100.0
8.4,87.2,2.94,6.7,Medium,Yes,Yes,Male,91.4
4.3,100.0,2.69,8.0,Medium,Yes,No,Female,94.6
11.8,,4.0,8.0,Medium,Yes,No,Female,100.0
11.9,86.7,2.96,7.4,High,No,No,Male,100.0
3.9,79.4,3.77,6.7,Low,No,No,Female,87.6
10.9,,2.9,6.5,Medium,No,Yes,Female,96.3
12.9,82.5,3.13,5.2,Low,Yes,No,Male,96.6
11.5,77.1,2.34,6.0,Medium,Yes,Yes,Male,92.8
12.5,82.1,2.78,6.2,Medium,No,No,Male,100.0
4.4,87.0,3.11,5.5,Low,Yes,No,Female,84.1
11.3,77.3,3.79,7.6,Medium,Yes,No,Female,100.0
8.8,76.9,3.11,8.6,Medium,No,No,Female,92.7
8.1,71.4,3.69,5.8,Low,Yes,Yes,Female,89.6
13.5,88.9,3.32,7.4,High,Yes,No,Male,100.0
15.9,90.5,3.81,5.7,Medium,No,No,Male,100.0
17.2,87.3,2.97,6.6,High,No,No,Male,100.0
15.3,94.7,4.0,6.1,Medium,Yes,Yes,Male,100.0
9.6,85.9,2.76,7.8,High,Yes,Yes,Female,93.9
11.4,88.9,2.62,6.1,Medium,No,No,Female,95.9
13.1,88.0,2.39,8.3,Medium,Yes,No,Female,100.0
10.5,84.1,4.0,6.7,High,Yes,No,Female,100.0
10.5,,3.41,6.2,Medium,No,No,Male,100.0
13.3,100.0,2.83,5.4,Medium,No,No,Female,97.8
